Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
EE 198B (Section 01),22089,In Person,Senior Design Project II,GE: V,3.0,LAB,S,09:00AM-06:00PM,Thuy Le / Sotoudeh Hamedi-Hagh,ENG291,01/24/24-05/13/24,0,2024,Spring
EE 198B (Section 02),22091,In Person,Senior Design Project II,GE: V,3.0,LAB,S,09:00AM-06:00PM,Thuy Le / Sotoudeh Hamedi-Hagh,ENG295,01/24/24-05/13/24,0,2024,Spring
EE 198B (Section 03),22092,In Person,Senior Design Project II,GE: V,3.0,LAB,S,09:00AM-06:00PM,Thuy Le / Chang Choo,ENG376,01/24/24-05/13/24,1,2024,Spring
ENGL 1A (Section 01),24688,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Christopher Dizon,BBC122,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 02),24740,In Person,First Year Writing,GE: A2,3.0,LEC,MW,10:30AM-11:45AM,Ume Ali,BBC221,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 03),24741,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Sophie Aust,BBC128,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 04),24742,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Aleksandra Gorka,SH229,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 06),24744,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Ume Ali,BBC130,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 08),24746,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Rachel Turner,BBC221,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 09),24747,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Rachel Turner,SH411,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 10),24748,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Ume Ali,BBC130,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 13),24755,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Ryan Smith,SH411,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 14),24757,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Alex Davis,BBC122,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 16),24759,In Person,First Year Writing,GE: A2,3.0,LEC,MW,04:30PM-05:45PM,Yasmeen Abdeljabbar,CL225B,01/24/24-05/13/24,4,2024,Spring
ENGL 1A (Section 17),24760,In Person,First Year Writing,GE: A2,3.0,LEC,MW,10:30AM-11:45AM,Christopher Dizon,BBC122,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 19),24762,In Person,First Year Writing,GE: A2,3.0,LEC,TR,09:00AM-10:15AM,Anne Cheilek,CL225A,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 21),24764,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Alayna Mills,CL225B,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 22),24765,In Person,First Year Writing,GE: A2,3.0,LEC,MW,10:30AM-11:45AM,Alayna Mills,SH348,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 24),24767,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Alayna Mills,CL225B,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 25),24768,In Person,First Year Writing,GE: A2,3.0,LEC,T,06:00PM-08:45PM,Regina Arnold,BBC221,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 26),24769,In Person,First Year Writing,GE: A2,3.0,LEC,TR,10:30AM-11:45AM,Roohi Vora,SH229,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 27),24770,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Sara Cook,BBC123,01/24/24-05/13/24,1,2024,Spring
ENGL 1A (Section 28),24831,In Person,First Year Writing,GE: A2,3.0,LEC,TR,10:30AM-11:45AM,Alesya Petty,CL225A,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 29),24833,In Person,First Year Writing,GE: A2,3.0,LEC,TR,10:30AM-11:45AM,Adam Smith,BBC203,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 30),24940,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Deeptiman Kaushik,BBC121,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 31),26792,In Person,First Year Writing,GE: A2,3.0,LEC,TR,10:30AM-11:45AM,Yuching Yang,BBC124,01/24/24-05/13/24,5,2024,Spring
ENGL 1A (Section 32),24890,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Au-Co Tran,BBC124,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 33),24892,In Person,First Year Writing,GE: A2,3.0,LEC,TR,09:00AM-10:15AM,Danielle Allen,BBC124,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 34),26712,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Yuching Yang,CL225A,01/24/24-05/13/24,1,2024,Spring
ENGL 1A (Section 36),27400,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Joseph Navarro,BBC121,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 39),27403,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Au-Co Tran,BBC124,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 44),27408,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Karen Liou,CL225B,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 45),27409,In Person,First Year Writing,GE: A2,3.0,LEC,MW,04:30PM-05:45PM,Au-Co Tran,BBC124,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 50),27416,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Victoria Thorp,BBC221,01/24/24-05/13/24,0,2024,Spring
ENGL 1A (Section 53),27420,In Person,First Year Writing,GE: A2,3.0,LEC,MW,10:30AM-11:45AM,Rachel Turner,CL225B,01/24/24-05/13/24,7,2024,Spring
