Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
PHYS 52 (Section 01),20152,In Person,"General Physics III: Waves, Light, Heat",GE: 5A+5C,4.0,LEC,TR,04:30PM-05:45PM,Ranko Heindl,SCI142,01/23/25-05/12/25,8,2025,Spring
PHYS 52 (Section 11),25104,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,W,09:00AM-11:50AM,Maxine Shao,DH609,01/23/25-05/12/25,1,2025,Spring
PHYS 52 (Section 12),20153,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,W,12:00PM-02:50PM,Maxine Shao,DH609,01/23/25-05/12/25,0,2025,Spring
PHYS 52 (Section 13),27907,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,W,03:00PM-05:50PM,Maxine Shao,DH609,01/23/25-05/12/25,0,2025,Spring
PHYS 52 (Section 14),25105,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,R,09:00AM-11:50AM,Vakini Santhanakrishnan,DH609,01/23/25-05/12/25,0,2025,Spring
PHYS 52 (Section 15),22330,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,R,12:00PM-02:50PM,Nargis Adham,DH609,01/23/25-05/12/25,0,2025,Spring
PHYS 52 (Section 16),22388,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,F,09:00AM-11:50AM,Azadeh Shahid Faylienejad,DH609,01/23/25-05/12/25,2,2025,Spring
PHYS 52 (Section 17),23097,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,F,12:00PM-02:50PM,Vakini Santhanakrishnan,DH609,01/23/25-05/12/25,0,2025,Spring
PHYS 52 (Section 18),28775,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,T,09:00AM-11:50AM,Ramen Bahuguna,DH609,01/23/25-05/12/25,1,2025,Spring
PHYS 52 (Section 19),28776,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,T,12:00PM-02:50PM,Nargis Adham,DH609,01/23/25-05/12/25,1,2025,Spring
PHYS 52 (Section 20),30050,In Person,"General Physics III: Waves, Light, Heat",,0,LAB,M,12:00PM-02:50PM,Ramen Bahuguna,DH609,01/23/25-05/12/25,3,2025,Spring
